ID,Tournament,Date,Home Team,Away Team,Home Goals,Away Goals,Home Stadium or Not
1,Friendly,1872-11-30,Scotland,England,0,0,1
2,Friendly,1873-03-08,England,Scotland,4,2,1
3,Friendly,1874-03-07,Scotland,England,2,1,1
4,Friendly,1875-03-06,England,Scotland,2,2,1
5,Friendly,1876-03-04,Scotland,England,3,0,1
6,Friendly,1876-03-25,Scotland,Wales,4,0,1
7,Friendly,1877-03-03,England,Scotland,1,3,1
8,Friendly,1877-03-05,Wales,Scotland,0,2,1
9,Friendly,1878-03-02,Scotland,England,7,2,1
10,Friendly,1878-03-23,Scotland,Wales,9,0,1
11,Friendly,1879-01-18,England,Wales,2,1,1
12,Friendly,1879-04-05,England,Scotland,5,4,1
13,Friendly,1879-04-07,Wales,Scotland,0,3,1
14,Friendly,1880-03-13,Scotland,England,5,4,1
15,Friendly,1880-03-15,Wales,England,2,3,1
16,Friendly,1880-03-27,Scotland,Wales,5,1,1
17,Friendly,1881-02-26,England,Wales,0,1,1
18,Friendly,1881-03-12,England,Scotland,1,6,1
19,Friendly,1881-03-14,Wales,Scotland,1,5,1
20,Friendly,1882-02-18,Northern Ireland,England,0,13,1
21,Friendly,1882-02-25,Wales,Northern Ireland,7,1,1
22,Friendly,1882-03-11,Scotland,England,5,1,1
23,Friendly,1882-03-13,Wales,England,5,3,1
24,Friendly,1882-03-25,Scotland,Wales,5,0,1
25,Friendly,1883-02-03,England,Wales,5,0,1
26,Friendly,1883-02-24,England,Northern Ireland,7,0,1
27,Friendly,1883-03-10,England,Scotland,2,3,1
28,Friendly,1883-03-12,Wales,Scotland,0,3,1
29,Friendly,1883-03-17,Northern Ireland,Wales,1,1,1
30,British Championship,1884-02-09,Wales,Northern Ireland,6,0,1
31,British Championship,1884-02-23,Northern Ireland,England,1,8,1
32,British Championship,1884-03-15,Scotland,England,1,0,1
33,British Championship,1884-03-17,Wales,England,0,4,1
34,British Championship,1884-03-29,Scotland,Wales,4,1,1
35,British Championship,1885-02-28,England,Northern Ireland,4,0,1
36,British Championship,1885-03-14,England,Wales,1,1,1
37,British Championship,1885-03-21,England,Scotland,1,1,1
38,British Championship,1885-03-23,Wales,Scotland,1,8,1
39,British Championship,1885-04-11,Northern Ireland,Wales,2,8,1
40,Friendly,1885-11-28,United States,Canada,0,1,1
41,British Championship,1886-02-27,Wales,Northern Ireland,5,0,1
42,British Championship,1886-03-13,Northern Ireland,England,1,6,1
43,British Championship,1886-03-27,Scotland,England,1,1,1
44,British Championship,1886-03-29,Wales,England,1,3,1
45,British Championship,1886-04-10,Scotland,Wales,4,1,1
46,Friendly,1886-11-25,United States,Canada,3,2,1
47,British Championship,1887-02-05,England,Northern Ireland,7,0,1
48,British Championship,1887-02-26,England,Wales,4,0,1
49,British Championship,1887-03-12,Northern Ireland,Wales,4,1,1
50,British Championship,1887-03-19,England,Scotland,2,3,1
51,British Championship,1887-03-21,Wales,Scotland,0,2,1
52,British Championship,1888-02-04,England,Wales,5,1,1
53,British Championship,1888-03-03,Wales,Northern Ireland,11,0,1
54,British Championship,1888-03-10,Scotland,Wales,5,1,1
55,British Championship,1888-03-17,Scotland,England,0,5,1
56,British Championship,1888-04-07,Northern Ireland,England,1,5,1
57,Friendly,1888-09-19,Scotland,Canada,4,0,1
58,British Championship,1889-02-23,England,Wales,4,1,1
59,British Championship,1889-03-02,England,Northern Ireland,6,1,1
60,British Championship,1889-04-13,England,Scotland,2,3,1
61,British Championship,1889-04-15,Wales,Scotland,0,0,1
62,British Championship,1889-04-27,Northern Ireland,Wales,1,3,1
63,British Championship,1890-02-08,Wales,Northern Ireland,5,2,0
64,British Championship,1890-03-15,Northern Ireland,England,1,9,1
65,British Championship,1890-03-15,Wales,England,1,3,1
66,British Championship,1890-03-22,Scotland,Wales,5,0,1
67,British Championship,1890-04-05,Scotland,England,1,1,1
68,British Championship,1891-02-07,Northern Ireland,Wales,7,2,1
69,British Championship,1891-03-07,England,Wales,4,1,1
70,British Championship,1891-03-07,England,Northern Ireland,6,1,1
71,British Championship,1891-03-21,Wales,Scotland,3,4,1
72,British Championship,1891-04-06,England,Scotland,2,1,1
73,British Championship,1892-02-27,Wales,Northern Ireland,1,1,1
74,British Championship,1892-03-05,Northern Ireland,England,0,2,1
75,British Championship,1892-03-05,Wales,England,0,2,1
76,British Championship,1892-03-26,Scotland,Wales,6,1,1
77,British Championship,1892-04-02,Scotland,England,1,4,1
78,British Championship,1893-02-25,England,Northern Ireland,6,1,1
79,British Championship,1893-03-13,England,Wales,6,0,1
80,British Championship,1893-03-18,Wales,Scotland,0,8,1
81,British Championship,1893-04-01,England,Scotland,5,2,1
82,British Championship,1894-02-24,Wales,Northern Ireland,4,1,1
83,British Championship,1894-03-03,Northern Ireland,England,2,2,1
84,British Championship,1894-03-12,Wales,England,1,5,1
85,British Championship,1894-03-24,Scotland,Wales,5,2,1
86,British Championship,1894-04-07,Scotland,England,2,2,1
87,British Championship,1895-03-09,England,Northern Ireland,9,0,1
88,British Championship,1895-03-16,Northern Ireland,Wales,2,2,1
89,British Championship,1895-03-18,England,Wales,1,1,1
90,British Championship,1895-03-23,Wales,Scotland,2,2,1
91,British Championship,1895-04-06,England,Scotland,3,0,1
92,British Championship,1896-02-29,Wales,Northern Ireland,6,1,1
93,British Championship,1896-03-07,Northern Ireland,England,0,2,1
94,British Championship,1896-03-16,Wales,England,1,9,1
95,British Championship,1896-03-21,Scotland,Wales,4,0,1
96,British Championship,1896-04-04,Scotland,England,2,1,1
97,British Championship,1897-02-20,England,Northern Ireland,6,0,1
98,British Championship,1897-03-06,Northern Ireland,Wales,4,3,1
99,British Championship,1897-03-20,Wales,Scotland,2,2,1
100,British Championship,1897-03-29,England,Wales,4,0,1
101,British Championship,1897-04-03,England,Scotland,1,2,1
102,British Championship,1898-02-19,Wales,Northern Ireland,0,1,1
103,British Championship,1898-03-05,Northern Ireland,England,2,3,1
104,British Championship,1898-03-19,Scotland,Wales,5,2,1
105,British Championship,1898-03-28,Wales,England,0,3,1
106,British Championship,1898-04-02,Scotland,England,1,3,1
107,British Championship,1899-02-18,England,Northern Ireland,13,2,1
108,British Championship,1899-03-04,Northern Ireland,Wales,1,0,1
109,British Championship,1899-03-18,Wales,Scotland,0,6,1
110,British Championship,1899-03-20,England,Wales,4,0,1
111,British Championship,1899-04-08,England,Scotland,2,1,1
112,British Championship,1900-02-03,Scotland,Wales,5,2,1
113,British Championship,1900-02-24,Wales,Northern Ireland,2,0,1
114,British Championship,1900-03-17,Northern Ireland,England,0,2,1
115,British Championship,1900-03-26,Wales,England,1,1,1
116,British Championship,1900-04-07,Scotland,England,4,1,1
117,British Championship,1901-03-02,Wales,Scotland,1,1,1
118,British Championship,1901-03-09,England,Northern Ireland,3,0,1
119,British Championship,1901-03-18,England,Wales,6,0,1
120,British Championship,1901-03-23,Northern Ireland,Wales,0,1,1
121,British Championship,1901-03-30,England,Scotland,2,2,1
122,British Championship,1902-02-22,Wales,Northern Ireland,0,3,1
123,British Championship,1902-03-03,Wales,England,0,0,1
124,British Championship,1902-03-15,Scotland,Wales,5,1,1
125,British Championship,1902-03-22,Northern Ireland,England,0,1,1
126,British Championship,1902-05-03,England,Scotland,2,2,1
127,Friendly,1902-07-20,Uruguay,Argentina,0,6,1
128,British Championship,1903-02-14,England,Northern Ireland,4,0,1
129,British Championship,1903-03-02,England,Wales,2,1,1
130,British Championship,1903-03-09,Wales,Scotland,0,1,1
131,British Championship,1903-03-28,Northern Ireland,Wales,2,0,1
132,British Championship,1903-04-04,England,Scotland,1,2,1
133,Friendly,1903-09-13,Argentina,Uruguay,2,3,1
134,British Championship,1904-02-29,Wales,England,2,2,1
135,British Championship,1904-03-12,Northern Ireland,England,1,3,1
136,British Championship,1904-03-12,Scotland,Wales,1,1,1
137,British Championship,1904-03-21,Wales,Northern Ireland,0,1,1
138,British Championship,1904-04-09,Scotland,England,0,1,1
139,Friendly,1904-05-01,Belgium,France,3,3,1
140,Friendly,1905-02-12,France,Switzerland,1,0,1
141,British Championship,1905-02-25,England,Northern Ireland,1,1,1
142,British Championship,1905-03-06,Wales,Scotland,3,1,1
143,British Championship,1905-03-27,England,Wales,3,1,1
144,British Championship,1905-04-01,England,Scotland,1,0,1
145,British Championship,1905-04-08,Northern Ireland,Wales,2,2,1
146,Friendly,1905-04-30,Belgium,Netherlands,1,4,1
147,Friendly,1905-05-07,Belgium,France,7,0,1
148,Friendly,1905-05-14,Netherlands,Belgium,4,0,1
149,Copa Lipton,1905-08-15,Argentina,Uruguay,0,0,1
150,British Championship,1906-02-17,Northern Ireland,England,0,5,1
151,British Championship,1906-03-03,Scotland,Wales,0,2,1
152,British Championship,1906-03-19,Wales,England,0,1,1
153,British Championship,1906-04-02,Wales,Northern Ireland,4,4,1
154,British Championship,1906-04-07,Scotland,England,2,1,1
155,Friendly,1906-04-22,France,Belgium,0,5,1
156,Friendly,1906-04-29,Belgium,Netherlands,5,0,1
157,Friendly,1906-05-13,Netherlands,Belgium,2,3,1
158,Copa Lipton,1906-08-15,Uruguay,Argentina,0,2,1
159,Copa Newton,1906-10-21,Argentina,Uruguay,2,1,1
160,British Championship,1907-02-16,England,Northern Ireland,1,0,1
161,British Championship,1907-02-23,Northern Ireland,Wales,2,3,1
162,British Championship,1907-03-04,Wales,Scotland,1,0,1
163,British Championship,1907-03-18,England,Wales,1,1,1
164,British Championship,1907-04-06,England,Scotland,1,1,1
165,Friendly,1907-04-14,Belgium,Netherlands,1,3,1
166,Friendly,1907-04-21,Belgium,France,1,2,1
167,Friendly,1907-05-09,Netherlands,Belgium,1,2,1
168,British Championship,1908-02-15,Northern Ireland,England,1,3,1
169,British Championship,1908-03-07,Scotland,Wales,2,1,1
170,Friendly,1908-03-08,Switzerland,France,1,2,1
171,British Championship,1908-03-16,Wales,England,1,7,1
172,Friendly,1908-03-29,Belgium,Netherlands,1,4,1
173,British Championship,1908-04-04,Scotland,England,1,1,1
174,Friendly,1908-04-05,Switzerland,Germany,5,3,1
175,British Championship,1908-04-11,Wales,Northern Ireland,0,1,1
176,Friendly,1908-04-12,France,Belgium,1,2,1
177,Friendly,1908-04-26,Netherlands,Belgium,3,1,1
178,Friendly,1908-05-10,Netherlands,France,4,1,1
179,Friendly,1908-06-06,Austria,England,1,6,1
180,Friendly,1908-06-07,Austria,Germany,3,2,1
181,Friendly,1908-06-08,Austria,England,1,11,1
182,Friendly,1908-06-10,Hungary,England,0,7,1
183,Friendly,1908-06-13,Czechoslovakia,England,0,4,1
184,Copa Lipton,1908-08-15,Uruguay,Argentina,2,2,1
185,Copa Newton,1908-09-13,Argentina,Uruguay,2,1,1
186,Copa Premio Honor Argentino,1908-10-04,Argentina,Uruguay,0,1,1
187,Friendly,1908-10-25,Netherlands,Sweden,5,3,1
188,Friendly,1908-10-26,Belgium,Sweden,2,1,1
189,British Championship,1909-02-13,England,Northern Ireland,4,0,1
190,British Championship,1909-03-01,Wales,Scotland,3,2,1
191,British Championship,1909-03-15,England,Wales,2,0,1
192,British Championship,1909-03-20,Northern Ireland,Wales,2,3,1
193,Friendly,1909-03-21,Belgium,Netherlands,1,4,1
194,British Championship,1909-04-03,England,Scotland,2,0,1
195,Friendly,1909-04-04,Germany,Switzerland,1,0,1
196,Friendly,1909-04-04,Hungary,Germany,3,3,1
197,Friendly,1909-04-25,Netherlands,Belgium,4,1,1
198,Friendly,1909-05-09,Belgium,France,5,2,1
199,Friendly,1909-05-29,Hungary,England,2,4,1
200,Friendly,1909-05-31,Hungary,England,2,8,1
201,Friendly,1909-06-01,Austria,England,1,8,1
202,Copa Lipton,1909-08-15,Argentina,Uruguay,2,1,1
203,Copa Newton,1909-09-19,Uruguay,Argentina,2,2,1
204,Copa Premio Honor Argentino,1909-10-10,Argentina,Uruguay,3,1,1
205,British Championship,1910-02-12,Northern Ireland,England,1,1,1
206,British Championship,1910-03-05,Scotland,Wales,1,0,1
207,Friendly,1910-03-13,Belgium,Netherlands,3,2,1
208,British Championship,1910-03-14,Wales,England,0,1,1
209,British Championship,1910-04-02,Scotland,England,2,0,1
210,Friendly,1910-04-03,France,Belgium,0,4,1
211,Friendly,1910-04-03,Switzerland,Germany,2,3,1
212,Friendly,1910-04-10,Netherlands,Belgium,7,0,1
213,British Championship,1910-04-11,Wales,Northern Ireland,4,1,1
214,Friendly,1910-04-24,Netherlands,Germany,4,2,1
215,Friendly,1910-05-15,Italy,France,6,2,1
216,Friendly,1910-05-16,Germany,Belgium,0,3,1
217,Friendly,1910-05-27,Argentina,Chile,3,1,1
218,Friendly,1910-05-29,Chile,Uruguay,0,3,0
219,Friendly,1910-06-05,Argentina,Chile,5,1,1
220,Friendly,1910-06-12,Argentina,Uruguay,4,1,1
221,Copa Lipton,1910-08-15,Uruguay,Argentina,3,1,1
222,Friendly,1910-09-11,Chile,Argentina,0,3,1
223,Friendly,1910-10-16,Germany,Netherlands,1,2,1
224,Copa Premio Honor Argentino,1910-11-13,Argentina,Uruguay,1,1,1
225,Copa Premio Honor Argentino,1910-11-27,Argentina,Uruguay,2,6,1
226,Friendly,1911-01-01,France,Hungary,0,3,1
227,Friendly,1911-01-08,Switzerland,Hungary,2,0,1
228,British Championship,1911-01-28,Northern Ireland,Wales,1,2,1
229,British Championship,1911-02-11,England,Northern Ireland,2,1,1
230,British Championship,1911-03-06,Wales,Scotland,2,2,1
231,British Championship,1911-03-13,England,Wales,3,0,1
232,Friendly,1911-03-19,Belgium,Netherlands,1,5,1
233,Friendly,1911-03-26,Germany,Switzerland,6,2,1
234,British Championship,1911-04-01,England,Scotland,1,1,1
235,Friendly,1911-04-02,Netherlands,Belgium,3,1,1
236,Friendly,1911-04-09,France,Italy,2,2,1
237,Friendly,1911-04-23,Belgium,Germany,2,1,1
238,Friendly,1911-04-23,Switzerland,France,5,2,1
239,Friendly,1911-04-30,Belgium,France,7,1,1
240,Friendly,1911-05-07,Italy,Switzerland,2,2,1
241,Friendly,1911-05-21,Switzerland,Italy,3,0,1
242,Friendly,1911-06-18,Sweden,Germany,2,4,1
243,Copa Lipton,1911-08-15,Argentina,Uruguay,0,2,1
244,Copa Newton,1911-09-17,Uruguay,Argentina,2,3,1
245,Copa Premio Honor Uruguayo,1911-10-08,Uruguay,Argentina,1,1,1
246,Friendly,1911-10-09,Germany,Austria,1,2,1
247,Copa Premio Honor Argentino,1911-10-22,Argentina,Uruguay,2,0,1
248,Friendly,1911-10-29,Germany,Sweden,1,3,1
249,Friendly,1911-10-29,Hungary,Switzerland,9,0,1
250,Friendly,1911-10-29,Luxembourg,France,1,4,1
251,Copa Premio Honor Uruguayo,1911-10-29,Uruguay,Argentina,3,0,1
252,Friendly,1911-12-17,Germany,Hungary,1,4,1
253,Friendly,1912-01-28,France,Belgium,1,1,1
254,British Championship,1912-02-10,Northern Ireland,England,1,6,1
255,Friendly,1912-02-10,France,Catalonia,7,0,1
256,Friendly,1912-02-18,France,Switzerland,4,1,1
257,Friendly,1912-02-20,Belgium,Switzerland,9,2,1
258,British Championship,1912-03-02,Scotland,Wales,1,0,1
259,Friendly,1912-03-10,Belgium,Netherlands,1,2,1
260,British Championship,1912-03-11,Wales,England,0,2,1
261,Friendly,1912-03-17,Italy,France,3,4,1
262,British Championship,1912-03-23,Scotland,England,1,1,1
263,Friendly,1912-03-24,Netherlands,Germany,5,5,1
264,British Championship,1912-04-13,Wales,Northern Ireland,2,3,1
265,Friendly,1912-04-14,Hungary,Germany,4,4,1
266,Friendly,1912-04-28,Netherlands,Belgium,4,3,1
267,Friendly,1912-05-05,Switzerland,Germany,1,2,1
268,Friendly,1912-07-05,Netherlands,Austria,3,1,0
269,Copa Lipton,1912-08-15,Uruguay,Argentina,2,0,1
270,Copa Premio Honor Uruguayo,1912-08-25,Uruguay,Argentina,3,0,1
271,Copa Premio Honor Argentino,1912-09-22,Argentina,Uruguay,0,1,1
272,Copa Newton,1912-10-06,Argentina,Uruguay,3,3,1
273,Friendly,1912-10-06,Denmark,Germany,3,1,1
274,Friendly,1912-11-17,Germany,Netherlands,2,3,1
275,Friendly,1912-12-01,Uruguay,Argentina,1,3,1
276,Friendly,1912-12-01,Catalonia,France,1,0,1
277,Friendly,1913-01-12,France,Italy,1,0,1
278,British Championship,1913-01-18,Northern Ireland,Wales,0,1,1
279,British Championship,1913-02-15,Northern Ireland,England,2,1,1
280,Friendly,1913-02-16,Belgium,France,3,0,1
281,British Championship,1913-03-03,Wales,Scotland,0,0,1
282,Friendly,1913-03-09,Belgium,Netherlands,3,3,1
283,Friendly,1913-03-09,Switzerland,France,1,4,1
284,British Championship,1913-03-17,England,Wales,4,3,1
285,British Championship,1913-04-05,England,Scotland,1,0,1
286,Friendly,1913-04-20,France,Luxembourg,8,0,1
287,Friendly,1913-04-20,Netherlands,Belgium,2,4,1
288,Friendly,1913-05-01,Italy,Belgium,1,0,1
289,Friendly,1913-05-04,Switzerland,Belgium,1,2,1
290,Friendly,1913-05-18,Germany,Switzerland,1,2,1
291,Friendly,1913-05-25,Denmark,Sweden,8,0,1
292,Friendly,1913-06-15,Argentina,Uruguay,1,1,1
293,Friendly,1913-07-09,Argentina,Uruguay,2,1,1
294,Copa Lipton,1913-08-15,Argentina,Uruguay,4,0,1
295,Copa Premio Honor Argentino,1913-08-31,Argentina,Uruguay,2,0,1
296,Friendly,1913-09-21,Chile,Argentina,0,2,1
297,Friendly,1913-10-05,Sweden,Denmark,0,10,1
298,Copa Premio Honor Uruguayo,1913-10-05,Uruguay,Argentina,1,0,1
299,Friendly,1913-10-26,Germany,Denmark,1,4,1
300,Copa Newton,1913-10-26,Uruguay,Argentina,1,0,1
301,Friendly,1913-11-02,Belgium,Switzerland,2,0,1
302,Friendly,1913-11-23,Belgium,Germany,6,2,1
303,British Championship,1914-01-19,Wales,Northern Ireland,1,2,1
304,Friendly,1914-01-25,France,Belgium,4,3,1
305,Friendly,1914-02-08,Luxembourg,France,5,4,1
306,British Championship,1914-02-14,England,Northern Ireland,0,3,1
307,British Championship,1914-02-28,Scotland,Wales,0,0,1
308,Friendly,1914-03-08,France,Switzerland,2,2,1
309,Friendly,1914-03-15,Belgium,Netherlands,2,4,1
310,British Championship,1914-03-16,Wales,England,0,2,1
311,Friendly,1914-03-29,Italy,France,2,0,1
312,Friendly,1914-04-05,Italy,Switzerland,1,1,1
313,Friendly,1914-04-05,Netherlands,Germany,4,4,1
314,British Championship,1914-04-14,Scotland,England,3,1,1
315,Friendly,1914-04-26,Netherlands,Belgium,4,2,1
316,Friendly,1914-05-17,Denmark,Netherlands,4,3,1
317,Friendly,1914-05-17,Switzerland,Italy,0,1,1
318,Friendly,1914-05-31,Hungary,France,5,1,1
319,Copa Premio Honor Uruguayo,1914-08-30,Uruguay,Argentina,3,2,1
320,Copa Premio Honor Argentino,1914-09-13,Argentina,Uruguay,2,1,1
321,Friendly,1914-09-20,Argentina,Brazil,3,0,1
322,Copa Roca,1914-09-27,Argentina,Brazil,0,1,1
323,Friendly,1915-01-31,Italy,Switzerland,3,1,1
324,Friendly,1915-06-06,Denmark,Sweden,2,0,1
325,Copa Premio Honor Uruguayo,1915-07-18,Uruguay,Argentina,2,3,1
326,Copa Lipton,1915-08-15,Argentina,Uruguay,2,1,1
327,Copa Newton,1915-09-12,Uruguay,Argentina,2,0,1
328,Friendly,1915-09-19,Denmark,Norway,8,1,1
329,Friendly,1915-10-31,Sweden,Denmark,0,2,1
330,Friendly,1916-06-04,Denmark,Sweden,2,0,1
331,Friendly,1916-06-25,Norway,Denmark,0,2,1
332,Copa America,1916-07-02,Chile,Uruguay,0,4,0
333,Copa America,1916-07-06,Argentina,Chile,6,1,1
334,Copa America,1916-07-08,Brazil,Chile,1,1,0
335,Copa America,1916-07-10,Argentina,Brazil,1,1,1
336,Friendly,1916-07-12,Argentina,Chile,1,0,1
337,Copa America,1916-07-12,Brazil,Uruguay,1,2,0
338,Friendly,1916-07-14,Uruguay,Chile,4,1,1
339,Copa America,1916-07-17,Argentina,Uruguay,0,0,1
340,Friendly,1916-07-18,Uruguay,Brazil,0,1,1
341,Copa Newton,1916-08-15,Argentina,Uruguay,3,1,1
342,Copa Lipton,1916-08-15,Uruguay,Argentina,1,2,1
343,Friendly,1916-08-20,Sweden,United States,2,3,1
344,Friendly,1916-09-03,Norway,United States,1,1,1
345,Friendly,1916-10-01,Argentina,Uruguay,7,2,1
346,Copa Premio Honor Uruguayo,1916-10-01,Uruguay,Argentina,0,1,1
347,Friendly,1916-10-08,Sweden,Denmark,4,0,1
348,Friendly,1916-10-15,Denmark,Norway,8,0,1
349,Friendly,1916-10-29,Uruguay,Argentina,3,1,1
350,Friendly,1917-05-07,Japan,Philippines,2,15,1
351,Friendly,1917-06-03,Denmark,Sweden,1,1,1
352,Friendly,1917-06-17,Norway,Denmark,1,2,1
353,Copa Premio Honor Uruguayo,1917-07-18,Uruguay,Argentina,0,2,1
354,Copa Lipton,1917-08-15,Argentina,Uruguay,1,0,1
355,Copa Newton,1917-09-02,Uruguay,Argentina,1,0,1
356,Copa America,1917-09-30,Uruguay,Chile,4,0,1
357,Copa America,1917-10-03,Argentina,Brazil,4,2,0
358,Copa America,1917-10-06,Argentina,Chile,1,0,0
359,Friendly,1917-10-07,Denmark,Norway,12,0,1
360,Copa America,1917-10-07,Uruguay,Brazil,4,0,1
361,Copa America,1917-10-12,Brazil,Chile,5,0,0
362,Friendly,1917-10-14,Sweden,Denmark,1,2,1
363,Copa America,1917-10-14,Uruguay,Argentina,1,0,1
364,Friendly,1917-10-16,Uruguay,Brazil,3,1,1
365,Friendly,1917-12-23,Switzerland,Austria,0,1,1
366,Friendly,1917-12-26,Switzerland,Austria,3,2,1
367,Friendly,1918-05-09,Austria,Switzerland,5,1,1
368,Friendly,1918-05-12,Hungary,Switzerland,2,1,1
369,Friendly,1918-06-02,Denmark,Sweden,3,0,1
370,Friendly,1918-06-16,Norway,Denmark,3,1,1
371,Copa Premio Honor Uruguayo,1918-07-18,Uruguay,Argentina,1,1,1
372,Copa Premio Honor Uruguayo,1918-07-28,Uruguay,Argentina,3,1,1
373,Copa Premio Honor Argentino,1918-08-15,Argentina,Uruguay,0,0,1
374,Copa Premio Honor Argentino,1918-08-25,Argentina,Uruguay,2,1,1
375,Copa Lipton,1918-09-20,Uruguay,Argentina,1,1,1
376,Copa Newton,1918-09-29,Argentina,Uruguay,2,0,1
377,Friendly,1918-10-06,Denmark,Norway,4,0,1
378,Friendly,1918-10-20,Sweden,Denmark,1,2,1
379,Friendly,1919-03-09,Belgium,France,2,2,1
380,Copa America,1919-05-11,Brazil,Chile,6,0,1
381,Friendly,1919-05-11,Paraguay,Argentina,1,5,1
382,Copa America,1919-05-13,Argentina,Uruguay,2,3,0
383,Friendly,1919-05-15,Paraguay,Argentina,0,3,1
384,Copa America,1919-05-17,Chile,Uruguay,0,2,0
385,Copa America,1919-05-18,Brazil,Argentina,3,1,1
386,Friendly,1919-05-21,Paraguay,Argentina,1,2,1
387,Copa America,1919-05-22,Argentina,Chile,4,1,0
388,Friendly,1919-05-24,Paraguay,Argentina,1,2,1
389,Copa America,1919-05-26,Brazil,Uruguay,2,2,1
390,Copa America,1919-05-29,Brazil,Uruguay,1,0,1
391,Friendly,1919-06-01,Brazil,Argentina,3,3,1
392,Friendly,1919-06-05,Denmark,Sweden,3,0,1
393,Friendly,1919-06-09,Netherlands,Sweden,3,1,1
394,Friendly,1919-06-12,Denmark,Norway,5,1,1
395,Copa Premio Honor Uruguayo,1919-07-18,Uruguay,Argentina,4,1,1
396,Friendly,1919-08-24,Sweden,Netherlands,4,1,1
397,Copa Newton,1919-08-24,Uruguay,Argentina,2,1,1
398,Friendly,1919-08-31,Norway,Netherlands,1,1,1
399,Copa Lipton,1919-09-07,Argentina,Uruguay,1,2,1
400,Friendly,1919-09-21,Norway,Denmark,3,2,1
401,Friendly,1919-10-12,Sweden,Denmark,3,0,1
402,Copa Premio Honor Argentino,1919-10-19,Argentina,Uruguay,6,1,1
403,British Championship,1919-10-25,Northern Ireland,England,1,1,1
404,Friendly,1919-12-07,Uruguay,Argentina,4,2,1
405,Friendly,1920-01-18,Italy,France,9,4,1
406,British Championship,1920-02-14,Northern Ireland,Wales,2,2,1
407,British Championship,1920-02-26,Wales,Scotland,1,1,1
408,Friendly,1920-02-29,Switzerland,France,0,2,1
409,British Championship,1920-03-15,England,Wales,1,2,1
410,Friendly,1920-03-28,France,Belgium,2,1,1
411,Friendly,1920-03-28,Switzerland,Italy,3,0,1
412,Friendly,1920-04-05,Netherlands,Denmark,2,0,1
413,British Championship,1920-04-10,England,Scotland,5,4,1
414,Friendly,1920-05-13,Italy,Netherlands,1,1,1
415,Friendly,1920-05-16,Switzerland,Netherlands,2,1,1
416,Friendly,1920-06-06,Sweden,Switzerland,0,1,1
417,Friendly,1920-06-13,Norway,Denmark,1,1,1
418,Friendly,1920-06-27,Switzerland,Germany,4,1,1
419,Copa Premio Honor Uruguayo,1920-07-18,Uruguay,Argentina,2,0,1
420,Copa Newton,1920-07-25,Argentina,Uruguay,1,3,1
421,Copa Premio Honor Argentino,1920-08-08,Argentina,Uruguay,1,0,1
422,Copa America,1920-09-11,Chile,Brazil,0,1,1
423,Copa America,1920-09-12,Uruguay,Argentina,1,1,0
424,Copa America,1920-09-18,Brazil,Uruguay,0,6,0
425,Copa America,1920-09-20,Chile,Argentina,1,1,1
426,Copa America,1920-09-25,Argentina,Brazil,2,0,0
427,Friendly,1920-09-26,Austria,Germany,3,2,1
428,Copa America,1920-10-03,Chile,Uruguay,1,2,1
429,Friendly,1920-10-10,Sweden,Denmark,0,2,1
430,British Championship,1920-10-23,England,Northern Ireland,2,0,1
431,Friendly,1920-10-24,Germany,Hungary,1,0,1
432,British Championship,1921-02-12,Scotland,Wales,2,1,1
433,Friendly,1921-02-20,France,Italy,1,2,1
434,Friendly,1921-03-06,Belgium,France,3,1,1
435,Friendly,1921-03-06,Italy,Switzerland,2,1,1
436,British Championship,1921-03-14,Wales,England,0,0,1
437,Friendly,1921-04-07,Paraguay,Argentina,3,1,1
438,British Championship,1921-04-09,Scotland,England,3,0,1
439,British Championship,1921-04-09,Wales,Northern Ireland,2,1,1
440,Friendly,1921-04-14,Paraguay,Argentina,2,2,1
441,Friendly,1921-05-01,Switzerland,Austria,2,2,1
442,Friendly,1921-05-05,Belgium,Italy,2,3,1
443,Friendly,1921-05-05,Germany,Austria,3,3,1
444,Friendly,1921-05-08,Netherlands,Italy,2,2,1
445,Friendly,1921-05-15,Belgium,Netherlands,1,1,1
446,Friendly,1921-05-21,Belgium,England,0,2,1
447,Friendly,1921-05-30,Japan,Philippines,0,3,0
448,Friendly,1921-06-05,Hungary,Germany,3,0,1
449,Friendly,1921-06-12,Denmark,Netherlands,1,1,1
450,Friendly,1921-07-09,Canada,Scotland,0,1,1
451,Friendly,1921-09-14,Costa Rica,El Salvador,7,0,0
452,Friendly,1921-09-18,Finland,Germany,3,3,1
453,Friendly,1921-09-18,Guatemala,Costa Rica,0,6,1
454,Copa America,1921-10-02,Argentina,Brazil,1,0,1
455,Friendly,1921-10-02,Denmark,Norway,3,1,1
456,Copa America,1921-10-09,Paraguay,Uruguay,2,1,0
457,Friendly,1921-10-09,Sweden,Denmark,0,0,1
458,Copa America,1921-10-12,Brazil,Paraguay,3,0,0
459,Copa America,1921-10-16,Argentina,Paraguay,3,0,1
460,British Championship,1921-10-22,Northern Ireland,England,1,1,1
461,Copa America,1921-10-23,Brazil,Uruguay,1,2,0
462,Copa America,1921-10-30,Argentina,Uruguay,1,0,1
463,Friendly,1921-11-02,Uruguay,Paraguay,4,2,1
464,Friendly,1921-11-06,Switzerland,Italy,1,1,1
465,Friendly,1921-11-13,France,Netherlands,0,5,1
